bank,arch_seed,input_seed,m,g,readout,method,M,M_clip,N,N_clip,C1_curNL_x_oldLin,C2_oldNL,C3_old_x_old,C4_old3,V4_NLONG,null_q99,saturated_fraction,n_features
development,20000,30000,0.0,0.0,R,ridge,-0.0009626280786888383,0.0004589716178261697,-0.0014792519646790552,0.0,-0.0056779212363266,-0.0015239388831213886,-0.003710229983937651,-0.00581447506913053,-0.007382722246823663,0.002848857284982572,0.0043859649122807015,11
development,20000,30000,0.0,0.0,R,ols_std,-0.0009627007477807568,0.0004589733850109491,-0.0014793787757193904,0.0,-0.005678114832629903,-0.0015240915732516874,-0.003710447610538324,-0.00581462753217238,-0.007382874645637101,0.0028489520741112884,0.0043859649122807015,11
development,20000,30000,0.0,0.0,R,ols_raw,-0.0009627007477869107,0.00045897338500498563,-0.0014793787757168737,0.0,-0.005678114832635907,-0.0015240915732520066,-0.003710447610539303,-0.005814627532170676,-0.007382874645649851,0.002848952074110924,0.0043859649122807015,11
development,20000,30000,0.0,0.0,P,ridge,-0.0009626583547550638,0.00045897235528594545,-0.001479304799665071,0.0,-0.005678001896908823,-0.0015240025002034863,-0.0037103206561323715,-0.005814538591527648,-0.007382785742471698,0.0028488967807772745,0.0043859649122807015,12
development,20000,30000,0.0,0.0,P,ols_std,-0.0009627007477866886,0.00045897338500517596,-0.0014793787757169479,0.0,-0.005678114832635889,-0.0015240915732519418,-0.003710447610539097,-0.005814627532170665,-0.007382874645649813,0.002848952074111326,0.0043859649122807015,12
development,20000,30000,0.0,0.0,P,ols_raw,-0.0009627007477866569,0.00045897338500520767,-0.0014793787757169479,0.0,-0.005678114832635907,-0.0015240915732519557,-0.003710447610539113,-0.00581462753217065,-0.007382874645649851,0.002848952074111326,0.0043859649122807015,12
development,20000,30000,0.0,0.0,J,ridge,-0.0017909792192744181,0.0005510207800713778,0.3286422033249228,0.3333333295847352,-0.0064530823019142885,-0.00235390173137028,-0.004406449959337541,-0.00670192451398223,-0.006942226366458175,0.005088410443326042,0.008771929824561403,72
development,20000,30000,0.0,0.0,J,ols_std,-0.0017911973976720205,0.0005510008510852657,0.3286416988803596,0.3333333333333333,-0.006453246581809365,-0.002354118960408163,-0.004406675531244456,-0.006702141862258244,-0.0069423408688935595,0.005088636931409364,0.008771929824561403,72
development,20000,30000,0.0,0.0,J,ols_raw,-0.0017911973976720524,0.0005510008510852339,0.32864169888035955,0.3333333333333333,-0.006453246581809402,-0.0023541189604081533,-0.004406675531244452,-0.00670214186225824,-0.006942340868893597,0.005088636931409364,0.008771929824561403,72
development,20000,30000,0.0,0.0,ALL,ridge,-0.0017910216979273625,0.0005510114177073192,0.32864213143135584,0.33333333033292806,-0.006453104124453786,-0.0023539259387997343,-0.004406484464141246,-0.006701950569170669,-0.006942262950222082,0.005088418664594013,0.008771929824561403,95
development,20000,30000,0.0,0.0,ALL,ols_std,-0.001791197397672433,0.0005510008510859318,0.32864169888035977,0.3333333333333333,-0.006453246581808107,-0.0023541189604087596,-0.004406675531244789,-0.006702141862259011,-0.006942340868891598,0.005088636931408306,0.008771929824561403,95
development,20000,30000,0.0,0.0,CLS,ridge,-0.0017911168054037965,0.0005510094263649583,0.3286418790599626,0.333333332911407,-0.006453181310204763,-0.002354038453145186,-0.004406587180970105,-0.006702061028234729,-0.006942290225461371,0.005088558316417386,0.008771929824561403,132
development,20000,30000,0.0,0.0,CLS,ols_std,-0.0017911973976719256,0.0005510008510852657,0.32864169888035955,0.3333333333333333,-0.006453246581809476,-0.002354118960408163,-0.004406675531244416,-0.0067021418622582336,-0.0069423408688936705,0.005088636931409364,0.008771929824561403,132
development,20000,30000,0.0,0.25,R,ridge,-0.0009626280786888383,0.0004589716178261697,-0.0014792519646790552,0.0,-0.0056779212363266,-0.0015239388831213886,-0.003710229983937651,-0.00581447506913053,-0.007382722246823663,0.002848857284982572,0.0043859649122807015,11
development,20000,30000,0.0,0.25,R,ols_std,-0.0009627007477807568,0.0004589733850109491,-0.0014793787757193904,0.0,-0.005678114832629903,-0.0015240915732516874,-0.003710447610538324,-0.00581462753217238,-0.007382874645637101,0.0028489520741112884,0.0043859649122807015,11
development,20000,30000,0.0,0.25,R,ols_raw,-0.0009627007477869107,0.00045897338500498563,-0.0014793787757168737,0.0,-0.005678114832635907,-0.0015240915732520066,-0.003710447610539303,-0.005814627532170676,-0.007382874645649851,0.002848952074110924,0.0043859649122807015,11
development,20000,30000,0.0,0.25,P,ridge,-0.0024076950503116707,0.0007534526532424797,0.7062677751395766,0.7062677751395766,-0.007389648004619285,-0.003606466400192026,-0.0058787734365271516,-0.007485943791377694,-0.006174001653004357,0.0050031093553738705,0.0043859649122807015,12
