bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.0,0.0,ALL,ols_std,M,-0.0031886728769656716,0.003665611664629624,10
development,0.0,0.0,ALL,ols_std,N,0.33059502887822423,0.003876877603337862,10
development,0.0,0.0,ALL,ols_std,N_long_C1,-0.007091413964609369,0.005949958523843076,10
development,0.0,0.0,ALL,ridge,M,-0.0031885899641460255,0.0036655832559706757,10
development,0.0,0.0,ALL,ridge,N,0.3305951929467664,0.0038766848059162955,10
development,0.0,0.0,ALL,ridge,N_long_C1,-0.007091105605073214,0.005949712931275984,10
development,0.0,0.0,CLS,ols_std,M,-0.003188672876964717,0.0036656116646283945,10
development,0.0,0.0,CLS,ols_std,N,0.330595028878224,0.0038768776033372056,10
development,0.0,0.0,CLS,ols_std,N_long_C1,-0.007091413964609601,0.005949958523843505,10
development,0.0,0.0,CLS,ridge,M,-0.0031886203894836243,0.0036655983397957423,10
development,0.0,0.0,CLS,ridge,N,0.33059511736721203,0.0038767782912001885,10
development,0.0,0.0,CLS,ridge,N_long_C1,-0.007091227272599315,0.005949825119835488,10
development,0.0,0.0,J,ols_raw,M,-0.0031886728769647313,0.0036656116646283854,10
development,0.0,0.0,J,ols_raw,N,0.330595028878224,0.003876877603337182,10
development,0.0,0.0,J,ols_raw,N_long_C1,-0.007091413964609579,0.0059499585238435015,10
development,0.0,0.0,J,ols_std,M,-0.0031886728769647253,0.0036656116646283845,10
development,0.0,0.0,J,ols_std,N,0.330595028878224,0.0038768776033371974,10
development,0.0,0.0,J,ols_std,N_long_C1,-0.007091413964609569,0.005949958523843502,10
development,0.0,0.0,J,ridge,M,-0.003188574094926741,0.0036655832246859925,10
development,0.0,0.0,J,ridge,N,0.33059521975397654,0.00387665352204928,10
development,0.0,0.0,J,ridge,N_long_C1,-0.0070910656875388615,0.005949678551049751,10
development,0.0,0.0,P,ols_raw,M,-0.002920768685716029,0.003042713841709376,10
development,0.0,0.0,P,ols_raw,N,-0.0024833270677342865,0.002903028521689363,10
development,0.0,0.0,P,ols_raw,N_long_C1,-0.004483465584648341,0.0034322138743281085,10
development,0.0,0.0,P,ols_std,M,-0.0029207686857160324,0.0030427138417093796,10
development,0.0,0.0,P,ols_std,N,-0.0024833270677342496,0.002903028521689373,10
development,0.0,0.0,P,ols_std,N_long_C1,-0.00448346558464833,0.003432213874328122,10
development,0.0,0.0,P,ridge,M,-0.0029206863054240155,0.0030426890936963813,10
development,0.0,0.0,P,ridge,N,-0.002483258789003662,0.0029029365605964708,10
development,0.0,0.0,P,ridge,N_long_C1,-0.004483312916441285,0.003432110954742635,10
development,0.0,0.0,R,ols_raw,M,-0.002920768685716067,0.0030427138417092234,10
development,0.0,0.0,R,ols_raw,N,-0.0024833270677341868,0.0029030285216892406,10
development,0.0,0.0,R,ols_raw,N_long_C1,-0.004483465584648413,0.003432213874328252,10
development,0.0,0.0,R,ols_std,M,-0.0029207686857192043,0.0030427138417147936,10
development,0.0,0.0,R,ols_std,N,-0.0024833270677326177,0.0029030285216884054,10
development,0.0,0.0,R,ols_std,N_long_C1,-0.004483465584647425,0.003432213874327296,10
development,0.0,0.0,R,ridge,M,-0.0029206274688382545,0.0030426714179880776,10
development,0.0,0.0,R,ridge,N,-0.002483210023835632,0.0029028708799751523,10
development,0.0,0.0,R,ridge,N_long_C1,-0.004483203879995642,0.0034320374470827226,10
development,0.0,0.25,ALL,ols_std,M,-0.006352324218250412,0.003964092033340799,10
development,0.0,0.25,ALL,ols_std,N,1.0,0.0,10
development,0.0,0.25,ALL,ols_std,N_long_C1,-0.013947096909111972,0.01221812795868214,10
development,0.0,0.25,ALL,ridge,M,-0.005400708354375783,0.004127466004229036,10
development,0.0,0.25,ALL,ridge,N,0.9954158999695359,0.003560282058646587,10
development,0.0,0.25,ALL,ridge,N_long_C1,-0.011982366975446837,0.011006615906905989,10
development,0.0,0.25,CLS,ols_std,M,-0.006352324218384442,0.003964092033519944,10
development,0.0,0.25,CLS,ols_std,N,1.0,0.0,10
development,0.0,0.25,CLS,ols_std,N_long_C1,-0.013947096909144408,0.012218127958698125,10
development,0.0,0.25,CLS,ridge,M,-0.00547018198183989,0.004081984076085477,10
development,0.0,0.25,CLS,ridge,N,0.996932204449276,0.0028825425434750225,10
development,0.0,0.25,CLS,ridge,N_long_C1,-0.012165308198823924,0.011126424663978082,10
development,0.0,0.25,J,ols_raw,M,-0.006352324218384395,0.003964092033519956,10
development,0.0,0.25,J,ols_raw,N,1.0,0.0,10
development,0.0,0.25,J,ols_raw,N_long_C1,-0.013947096909144256,0.012218127958698099,10
development,0.0,0.25,J,ols_std,M,-0.006352324218384492,0.0039640920335200355,10
development,0.0,0.25,J,ols_std,N,1.0,0.0,10
development,0.0,0.25,J,ols_std,N_long_C1,-0.013947096909144242,0.012218127958698,10
development,0.0,0.25,J,ridge,M,-0.005323381333370863,0.0041312080443636654,10
development,0.0,0.25,J,ridge,N,0.9930653012883855,0.004899010113832825,10
development,0.0,0.25,J,ridge,N_long_C1,-0.01185778256036806,0.010941984104824871,10
development,0.0,0.25,P,ols_raw,M,-0.005585643332244721,0.00413096900978349,10
development,0.0,0.25,P,ols_raw,N,1.0,0.0,10
development,0.0,0.25,P,ols_raw,N_long_C1,-0.011866542031255933,0.010851553607435567,10
development,0.0,0.25,P,ols_std,M,-0.005585643332244719,0.00413096900978354,10
development,0.0,0.25,P,ols_std,N,1.0,0.0,10
development,0.0,0.25,P,ols_std,N_long_C1,-0.011866542031255924,0.010851553607435683,10
development,0.0,0.25,P,ridge,M,-0.0037430947564411196,0.003687624145426265,10
development,0.0,0.25,P,ridge,N,0.7161256932276305,0.09877838179886249,10
development,0.0,0.25,P,ridge,N_long_C1,-0.008528569408045649,0.007752853057832795,10
development,0.0,0.25,R,ols_raw,M,-0.002920768685716067,0.0030427138417092234,10
development,0.0,0.25,R,ols_raw,N,-0.0024833270677341868,0.0029030285216892406,10
development,0.0,0.25,R,ols_raw,N_long_C1,-0.004483465584648413,0.003432213874328252,10
development,0.0,0.25,R,ols_std,M,-0.0029207686857192043,0.0030427138417147936,10
development,0.0,0.25,R,ols_std,N,-0.0024833270677326177,0.0029030285216884054,10
development,0.0,0.25,R,ols_std,N_long_C1,-0.004483465584647425,0.003432213874327296,10
development,0.0,0.25,R,ridge,M,-0.0029206274688382545,0.0030426714179880776,10
development,0.0,0.25,R,ridge,N,-0.002483210023835632,0.0029028708799751523,10
development,0.0,0.25,R,ridge,N_long_C1,-0.004483203879995642,0.0034320374470827226,10
development,0.0,0.5,ALL,ols_std,M,-0.006352324218292196,0.0039640920334080496,10
development,0.0,0.5,ALL,ols_std,N,1.0,0.0,10
development,0.0,0.5,ALL,ols_std,N_long_C1,-0.013947096909132789,0.012218127958692546,10
development,0.0,0.5,ALL,ridge,M,-0.005711644658866994,0.00405909141179712,10
