=== V5 SEARCH ===
    L4_p0.6_t0.4_f0.2500         worst=+0.179 C1adv=+0.100 feasible=False
    L4_p0.6_t0.4_f0.3333         worst=+0.179 C1adv=+0.124 feasible=False
    L4_p0.6_t0.42_f0.2500        worst=+0.179 C1adv=+0.112 feasible=False
    L4_p0.6_t0.42_f0.3333        worst=+0.179 C1adv=+0.129 feasible=False
    L4_p0.6_t0.44_f0.2500        worst=+0.179 C1adv=+0.123 feasible=False
    L4_p0.6_t0.44_f0.3333        worst=+0.179 C1adv=+0.134 feasible=False
    L4_p0.75_t0.4_f0.2500        worst=+0.174 C1adv=+0.111 feasible=False
    L4_p0.75_t0.4_f0.3333        worst=+0.174 C1adv=+0.137 feasible=False
    L4_p0.75_t0.42_f0.2500       worst=+0.174 C1adv=+0.125 feasible=False
    L4_p0.75_t0.42_f0.3333       worst=+0.174 C1adv=+0.144 feasible=False
    L4_p0.75_t0.44_f0.2500       worst=+0.174 C1adv=+0.137 feasible=False
    L4_p0.75_t0.44_f0.3333       worst=+0.174 C1adv=+0.149 feasible=False
    L4_p0.9_t0.4_f0.2500         worst=+0.155 C1adv=+0.112 feasible=False
    L4_p0.9_t0.4_f0.3333         worst=+0.155 C1adv=+0.140 feasible=False
    L4_p0.9_t0.42_f0.2500        worst=+0.155 C1adv=+0.126 feasible=False
    L4_p0.9_t0.42_f0.3333        worst=+0.155 C1adv=+0.146 feasible=False
    L4_p0.9_t0.44_f0.2500        worst=+0.155 C1adv=+0.139 feasible=False
    L4_p0.9_t0.44_f0.3333        worst=+0.155 C1adv=+0.151 feasible=False
    L4_p1.0_t0.4_f0.2500         worst=+0.140 C1adv=+0.110 feasible=False
    L4_p1.0_t0.4_f0.3333         worst=+0.140 C1adv=+0.137 feasible=False
    L4_p1.0_t0.42_f0.2500        worst=+0.140 C1adv=+0.124 feasible=False
    L4_p1.0_t0.42_f0.3333        worst=+0.140 C1adv=+0.144 feasible=False
    L4_p1.0_t0.44_f0.2500        worst=+0.140 C1adv=+0.137 feasible=False
    L4_p1.0_t0.44_f0.3333        worst=+0.140 C1adv=+0.149 feasible=False
    L6_p0.6_t0.4_f0.2500         worst=+0.231 C1adv=+0.186 feasible=True
    L6_p0.6_t0.4_f0.3333         worst=+0.270 C1adv=+0.231 feasible=True
    L6_p0.6_t0.42_f0.2500        worst=+0.259 C1adv=+0.209 feasible=True
    L6_p0.6_t0.42_f0.3333        worst=+0.280 C1adv=+0.242 feasible=True
    L6_p0.6_t0.44_f0.2500        worst=+0.284 C1adv=+0.230 feasible=True
    L6_p0.6_t0.44_f0.3333        worst=+0.288 C1adv=+0.251 feasible=True
    L6_p0.75_t0.4_f0.2500        worst=+0.231 C1adv=+0.206 feasible=True
    L6_p0.75_t0.4_f0.3333        worst=+0.270 C1adv=+0.256 feasible=True
    L6_p0.75_t0.42_f0.2500       worst=+0.259 C1adv=+0.231 feasible=True
    L6_p0.75_t0.42_f0.3333       worst=+0.280 C1adv=+0.268 feasible=True
    L6_p0.75_t0.44_f0.2500       worst=+0.284 C1adv=+0.255 feasible=True
    L6_p0.75_t0.44_f0.3333       worst=+0.288 C1adv=+0.278 feasible=True
    L6_p0.9_t0.4_f0.2500         worst=+0.231 C1adv=+0.224 feasible=True
    L6_p0.9_t0.4_f0.3333         worst=+0.270 C1adv=+0.279 feasible=True
    L6_p0.9_t0.42_f0.2500        worst=+0.259 C1adv=+0.252 feasible=True
    L6_p0.9_t0.42_f0.3333        worst=+0.280 C1adv=+0.292 feasible=True
    L6_p0.9_t0.44_f0.2500        worst=+0.284 C1adv=+0.278 feasible=True
    L6_p0.9_t0.44_f0.3333        worst=+0.288 C1adv=+0.303 feasible=True
    L6_p1.0_t0.4_f0.2500         worst=+0.231 C1adv=+0.228 feasible=True
    L6_p1.0_t0.4_f0.3333         worst=+0.270 C1adv=+0.284 feasible=True
    L6_p1.0_t0.42_f0.2500        worst=+0.259 C1adv=+0.257 feasible=True
    L6_p1.0_t0.42_f0.3333        worst=+0.280 C1adv=+0.297 feasible=True
    L6_p1.0_t0.44_f0.2500        worst=+0.284 C1adv=+0.283 feasible=True
    L6_p1.0_t0.44_f0.3333        worst=+0.288 C1adv=+0.308 feasible=True
    L8_p0.6_t0.4_f0.2500         worst=+0.231 C1adv=+0.280 feasible=True
    L8_p0.6_t0.4_f0.3333         worst=+0.270 C1adv=+0.349 feasible=True
    L8_p0.6_t0.42_f0.2500        worst=+0.259 C1adv=+0.315 feasible=True
    L8_p0.6_t0.42_f0.3333        worst=+0.280 C1adv=+0.366 feasible=True
    L8_p0.6_t0.44_f0.2500        worst=+0.284 C1adv=+0.348 feasible=True
    L8_p0.6_t0.44_f0.3333        worst=+0.288 C1adv=+0.379 feasible=True
    L8_p0.75_t0.4_f0.2500        worst=+0.231 C1adv=+0.300 feasible=True
    L8_p0.75_t0.4_f0.3333        worst=+0.270 C1adv=+0.374 feasible=True
    L8_p0.75_t0.42_f0.2500       worst=+0.259 C1adv=+0.338 feasible=True
    L8_p0.75_t0.42_f0.3333       worst=+0.280 C1adv=+0.391 feasible=True
    L8_p0.75_t0.44_f0.2500       worst=+0.284 C1adv=+0.372 feasible=True
    L8_p0.75_t0.44_f0.3333       worst=+0.288 C1adv=+0.406 feasible=True
    L8_p0.9_t0.4_f0.2500         worst=+0.231 C1adv=+0.335 feasible=True
    L8_p0.9_t0.4_f0.3333         worst=+0.270 C1adv=+0.416 feasible=True
    L8_p0.9_t0.42_f0.2500        worst=+0.259 C1adv=+0.376 feasible=True
    L8_p0.9_t0.42_f0.3333        worst=+0.280 C1adv=+0.435 feasible=True
    L8_p0.9_t0.44_f0.2500        worst=+0.284 C1adv=+0.414 feasible=True
    L8_p0.9_t0.44_f0.3333        worst=+0.288 C1adv=+0.451 feasible=True
    L8_p1.0_t0.4_f0.2500         worst=+0.231 C1adv=+0.348 feasible=True
    L8_p1.0_t0.4_f0.3333         worst=+0.270 C1adv=+0.433 feasible=True
    L8_p1.0_t0.42_f0.2500        worst=+0.259 C1adv=+0.391 feasible=True
    L8_p1.0_t0.42_f0.3333        worst=+0.280 C1adv=+0.453 feasible=True
    L8_p1.0_t0.44_f0.2500        worst=+0.284 C1adv=+0.431 feasible=True
    L8_p1.0_t0.44_f0.3333        worst=+0.288 C1adv=+0.469 feasible=True
    stress L6_p0.6_t0.44_f0.3333        worst-case=+0.267 robust=True
    stress L6_p0.75_t0.44_f0.3333       worst-case=+0.267 robust=True
    stress L6_p0.9_t0.44_f0.3333        worst-case=+0.267 robust=True
    stress L8_p0.6_t0.44_f0.3333        worst-case=+0.267 robust=True
    stress L8_p0.75_t0.44_f0.3333       worst-case=+0.267 robust=True
    stress L8_p0.9_t0.44_f0.3333        worst-case=+0.267 robust=True
  wrote results\v5\search.json
  chosen: {'L': 6, 'p_max': 0.6, 'theta_max': 1.382300767579509, 'phi': 1.0471975511965976}
