bank,arch_seed,input_seed,m,g,readout,method,M,M_clip,N,N_clip,C1_curNL_x_oldLin,C2_oldNL,C3_old_x_old,C4_old3,V4_NLONG,null_q99,saturated_fraction,n_features
development,40000,45000,0.0,0.0,R,ridge,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.0,R,ols_std,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.0,R,ols_raw,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.0,P,ridge,-0.00947735672938177,0.0,-0.0012478398344422843,0.0,-0.0035784141502623323,-0.0023211619137508874,-0.0013156150188871102,-0.0026863823280591998,-0.0028704740636621615,0.001988835968641607,0.0043859649122807015,1
development,40000,45000,0.0,0.0,P,ols_std,-0.00947707234338895,0.0,-0.0012486541245611733,0.0,-0.003579743772188698,-0.0023223340860390094,-0.0013165196925182532,-0.002687666192426465,-0.002870478436954963,0.001990633635930127,0.0043859649122807015,1
development,40000,45000,0.0,0.0,P,ols_raw,-0.009477072343388983,0.0,-0.0012486541245611733,0.0,-0.003579743772188698,-0.002322334086038977,-0.001316519692518257,-0.0026876661924264827,-0.002870478436954963,0.001990633635930127,0.0043859649122807015,1
development,40000,45000,0.0,0.0,J,ridge,-0.009477107894031793,0.0,-0.001248552248087324,0.0,-0.0035795774437321717,-0.002322187468759109,-0.001316406529059007,-0.0026875056026947025,-0.0028704778656975516,0.0019904088437444423,0.0043859649122807015,8
development,40000,45000,0.0,0.0,J,ols_std,-0.009477072343388983,0.0,-0.0012486541245611733,0.0,-0.003579743772188717,-0.002322334086038986,-0.0013165196925182493,-0.002687666192426485,-0.002870478436954963,0.001990633635930127,0.0043859649122807015,8
development,40000,45000,0.0,0.0,J,ols_raw,-0.00947707234338895,0.0,-0.0012486541245610994,0.0,-0.003579743772188717,-0.0023223340860389816,-0.0013165196925182413,-0.002687666192426485,-0.002870478436954963,0.001990633635930127,0.0043859649122807015,8
development,40000,45000,0.0,0.0,ALL,ridge,-0.009477103943993941,0.0,-0.0012485635664215937,0.0,-0.003579595922897074,-0.002322203758216313,-0.0013164191016576676,-0.002687523444492006,-0.0028704779288231674,0.00199043381947134,0.0043859649122807015,17
development,40000,45000,0.0,0.0,ALL,ols_std,-0.009477072343389015,0.0,-0.0012486541245610254,0.0,-0.0035797437721887073,-0.002322334086038972,-0.001316519692518257,-0.0026876661924265044,-0.002870478436954963,0.001990633635930127,0.0043859649122807015,17
development,40000,45000,0.0,0.0,CLS,ridge,-0.009477107894031793,0.0,-0.001248552248087324,0.0,-0.0035795774437321717,-0.002322187468759109,-0.001316406529059007,-0.0026875056026947025,-0.0028704778656975516,0.0019904088437444423,0.0043859649122807015,8
development,40000,45000,0.0,0.0,CLS,ols_std,-0.009477072343388983,0.0,-0.0012486541245611733,0.0,-0.003579743772188717,-0.002322334086038986,-0.0013165196925182493,-0.002687666192426485,-0.002870478436954963,0.001990633635930127,0.0043859649122807015,8
development,40000,45000,0.0,0.25,R,ridge,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.25,R,ols_std,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.25,R,ols_raw,-0.010508107286718265,0.0,-0.0012245410992214694,0.0,-0.0027822242292276367,-0.0010893668159904408,-0.0005532354568367996,-0.0014010978540997929,-0.0037173156684370636,-4.7314342716431153e-07,0.0,8
development,40000,45000,0.0,0.25,P,ridge,-0.00920102424971311,0.0,0.01647240013896604,0.01651405276625754,-0.0031131589843753915,-0.002375591846651509,-0.0014816884116171697,-0.0024976600910709434,-0.00260365430402835,0.0012477159945245937,0.0,1
development,40000,45000,0.0,0.25,P,ols_std,-0.009200623456831434,0.0,0.016468182055134117,0.016509741914233083,-0.0031142673840063397,-0.002376769627495006,-0.001482752200420089,-0.0024988820120540383,-0.0026038686572006178,0.001247687902870644,0.0,1
