bank,m,g,readout,method,metric,mean,sd,n_seeds
development,0.0,0.0,ALL,ols_std,M,-0.004617578300846942,0.004282989927214652,10
development,0.0,0.0,ALL,ols_std,N,-0.004150610019705955,0.005024774407904251,10
development,0.0,0.0,ALL,ols_std,N_long_C1,-0.005229308099724668,0.0020170299917405873,10
development,0.0,0.0,ALL,ridge,M,-0.004617466374898358,0.0042829377843968015,10
development,0.0,0.0,ALL,ridge,N,-0.004150468428063422,0.005024561534337033,10
development,0.0,0.0,ALL,ridge,N_long_C1,-0.0052290809468774156,0.0020169473592164724,10
development,0.0,0.0,CLS,ols_std,M,-0.004617578300846905,0.004282989927214659,10
development,0.0,0.0,CLS,ols_std,N,-0.0041506100197059624,0.005024774407904253,10
development,0.0,0.0,CLS,ols_std,N_long_C1,-0.005229308099724673,0.0020170299917405925,10
development,0.0,0.0,CLS,ridge,M,-0.0046174523855314325,0.00428293126718772,10
development,0.0,0.0,CLS,ridge,N,-0.004150450730924882,0.0050245349276819146,10
development,0.0,0.0,CLS,ridge,N_long_C1,-0.005229052555421548,0.0020169370310559546,10
development,0.0,0.0,J,ols_raw,M,-0.004617578300846912,0.004282989927214658,10
development,0.0,0.0,J,ols_raw,N,-0.00415061001970594,0.005024774407904252,10
development,0.0,0.0,J,ols_raw,N_long_C1,-0.005229308099724668,0.0020170299917405964,10
development,0.0,0.0,J,ols_std,M,-0.004617578300846905,0.004282989927214659,10
development,0.0,0.0,J,ols_std,N,-0.0041506100197059624,0.005024774407904253,10
development,0.0,0.0,J,ols_std,N_long_C1,-0.005229308099724673,0.0020170299917405925,10
development,0.0,0.0,J,ridge,M,-0.0046174523855314325,0.00428293126718772,10
development,0.0,0.0,J,ridge,N,-0.004150450730924882,0.0050245349276819146,10
development,0.0,0.0,J,ridge,N_long_C1,-0.005229052555421548,0.0020169370310559546,10
development,0.0,0.0,P,ols_raw,M,-0.004617578300846922,0.004282989927214649,10
development,0.0,0.0,P,ols_raw,N,-0.004150610019705998,0.005024774407904258,10
development,0.0,0.0,P,ols_raw,N_long_C1,-0.005229308099724664,0.0020170299917405972,10
development,0.0,0.0,P,ols_std,M,-0.004617578300846914,0.004282989927214647,10
development,0.0,0.0,P,ols_std,N,-0.004150610019705977,0.0050247744079042565,10
development,0.0,0.0,P,ols_std,N_long_C1,-0.005229308099724662,0.0020170299917405946,10
development,0.0,0.0,P,ridge,M,-0.004616571671667784,0.004282520970929074,10
development,0.0,0.0,P,ridge,N,-0.004149336624564807,0.005022859845941347,10
development,0.0,0.0,P,ridge,N_long_C1,-0.0052272650801463445,0.002016286762071763,10
development,0.0,0.0,R,ols_raw,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.0,R,ols_raw,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.0,R,ols_raw,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.0,R,ols_std,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.0,R,ols_std,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.0,R,ols_std,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.0,R,ridge,M,-0.003714912040205179,0.0037326524614011082,10
development,0.0,0.0,R,ridge,N,-0.0031756640967874157,0.0026414051303449153,10
development,0.0,0.0,R,ridge,N_long_C1,-0.003079626808742434,0.001144383696280112,10
development,0.0,0.25,ALL,ols_std,M,-0.004722324084629316,0.004162773556563998,10
development,0.0,0.25,ALL,ols_std,N,0.022771043825746937,0.014286429145768945,10
development,0.0,0.25,ALL,ols_std,N_long_C1,-0.004959572278299357,0.001821927057514721,10
development,0.0,0.25,ALL,ridge,M,-0.004722205771175637,0.004162723452676285,10
development,0.0,0.25,ALL,ridge,N,0.022771019336034586,0.014285735731107332,10
development,0.0,0.25,ALL,ridge,N_long_C1,-0.004959366270769146,0.0018218545409834522,10
development,0.0,0.25,CLS,ols_std,M,-0.0047223240846293165,0.004162773556563985,10
development,0.0,0.25,CLS,ols_std,N,0.02277104382574696,0.014286429145768963,10
development,0.0,0.25,CLS,ols_std,N_long_C1,-0.004959572278299357,0.0018219270575147077,10
development,0.0,0.25,CLS,ridge,M,-0.004722190983424913,0.004162717190375299,10
development,0.0,0.25,CLS,ridge,N,0.02277101626348685,0.014285649058993608,10
